molecule_chembl_id,standard_value,pchembl_value,canonical_smiles
CHEMBL1034,2600,5.585026652,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+]
CHEMBL1418164,500,6.301029996,O=C(N1CCOCC1)N1CCN(c2ccc(F)cc2)CC1
CHEMBL1447127,6100,5.214670165,O=C(N1CCOCC1)N1CCN(c2ccccc2)CC1
CHEMBL1545268,3800,5.420216403,O=C(N1CCCCC1)N1CCN(c2ccc(Cl)cc2)CC1
CHEMBL1682539,69800,4.156144577,CS(=O)(=O)c1ccc(/C(=C\c2ccccc2)C(=O)O)cc1
CHEMBL178499,710,6.148741651,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(F)cc1
CHEMBL178687,220,6.657577319,COc1ccc2c(c1)c(CCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
CHEMBL179587,160,6.795880017,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(C)cc1
CHEMBL1865699,20300,4.692503962,COc1ccccc1N1CCN(C(=O)N2CCOCC2)CC1
CHEMBL196755,11000,4.958607315,O=C(O)c1ccccc1NC(=O)C(c1ccccc1)c1ccccc1
CHEMBL196812,70000,4.15490196,O=C(O)c1ccccc1C(=O)c1ccccc1
CHEMBL198745,39000,4.408935393,O=C(O)c1ccccc1C(=O)c1ccc(Br)cc1
CHEMBL2023820,86,7.065501549,O=C(O)c1cccc(Nc2ccc([N+](=O)[O-])c3ccccc23)c1
CHEMBL2070008,7500,5.124938737,CCCCOc1cc(C(=O)Nc2ccccc2C(=O)O)ccc1[N+](=O)[O-]
CHEMBL2172258,213,6.671620397,O=C(CC1SC(=O)NC1=O)Nc1ccccc1O
CHEMBL2172787,2240,5.649751982,COc1ccc2c(c1)c(CC(=O)NS(C)(=O)=O)c(C)n2C(=O)c1ccc(Cl)cc1
CHEMBL2323472,120,6.920818754,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(CCl)cc1
CHEMBL2323473,140,6.853871964,COc1ccc(C(=O)n2c(C)c(CC(=O)O)c3cc(OC)ccc32)cc1
CHEMBL2323474,270,6.568636236,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(C(F)(F)F)cc1
CHEMBL2323475,2440,5.612610174,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1cccc(C(F)(F)F)c1
CHEMBL2323476,250,6.602059991,Cc1c(CC(=O)O)c2cc(F)ccc2n1C(=O)c1ccc(Cl)cc1
CHEMBL2323477,2230,5.651695137,Cc1c(CC(=O)O)c2cc(F)ccc2n1C(=O)c1cccc(C(F)(F)F)c1
CHEMBL2323478,7540,5.122628654,COC(=O)Cc1c(C)n(C(=O)c2ccc(C)cc2)c2ccc(OC)cc12
CHEMBL2323479,15710,4.803823815,COC(=O)Cc1c(C)n(C(=O)c2ccc(C(F)(F)F)cc2)c2ccc(OC)cc12
CHEMBL2323480,7590,5.119758224,COC(=O)Cc1c(C)n(C(=O)c2ccc(OC)cc2)c2ccc(OC)cc12
CHEMBL2323481,740,6.13076828,COc1ccc2c(c1)c(CC(=O)NS(=O)(=O)C(F)(F)F)c(C)n2C(=O)c1ccc(Cl)cc1
CHEMBL2323482,290,6.537602002,Cc1c(CCC(=O)O)c2cc(F)ccc2n1C(=O)c1ccc(Cl)cc1
CHEMBL2323483,3560,5.448550002,COc1ccc2c(c1)cc(C)n2C(=O)c1ccc(Cl)cc1
CHEMBL2323484,11340,4.945386945,COC(=O)Cc1cn(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12
CHEMBL2323485,4960,5.304518324,COc1ccc2c(c1)c(CC(=O)O)cn2C(=O)c1ccc(F)cc1
CHEMBL2323486,1080,5.966576245,COc1ccc2c(c1)c(CC(=O)O)cn2C(=O)c1ccc(C(F)(F)F)cc1
CHEMBL2323487,5210,5.283162277,COc1ccc2c(c1)c(CC(=O)O)cn2C(=O)c1cccc(C(F)(F)F)c1
CHEMBL2323488,500,6.301029996,O=C(O)Cc1cn(C(=O)c2ccc(Cl)cc2)c2ccc(F)cc12
CHEMBL2323489,12000,4.920818754,COc1ccc2c(c1)c(CC(=O)NS(C)(=O)=O)cn2C(=O)c1ccc(Cl)cc1
CHEMBL2323490,210,6.677780705,COc1ccc2c(c1)c(CC(=O)NS(=O)(=O)C(F)(F)F)cn2C(=O)c1ccc(Cl)cc1
