Ligand_name,Status
Z1869968513,SUCCESS
Z2433586090,SUCCESS
Z8795960121,SUCCESS
Z7375097728,SUCCESS
Z395748828,SUCCESS
Z7705549560,SUCCESS
Z8786606202,SUCCESS
Z6741337910,SUCCESS
Z3839243211,SUCCESS
Z8928620923,SUCCESS
Z2913044338,SUCCESS
Z9193183014,SUCCESS
Z8795960114,SUCCESS
Z3494943044,SUCCESS
Z8783554096,SUCCESS
Z8783554096,SUCCESS
Z9897293598,SUCCESS
Z6739491508,SUCCESS
Z6260543383,SUCCESS
Z9704515233,SUCCESS
Z9311586122,SUCCESS
Z5534043515,SUCCESS
Z8795960115,SUCCESS
Z4168734787,SUCCESS
Z4168734787,SUCCESS
Z3347596309,SUCCESS
Z9029396187,SUCCESS
Z9725227593,SUCCESS
Z6480536750,SUCCESS
Z2240546658,SUCCESS
Z2240546658,SUCCESS
Z2240546658,SUCCESS
Z2991046002,SUCCESS
Z5431985545,SUCCESS
Z7798152595,SUCCESS
Z5431985950,SUCCESS
Z6739948363,SUCCESS
Z6704781071,SUCCESS
Z3388447647,SUCCESS
Z9250955118,SUCCESS
Z9216327189,SUCCESS
Z5431985565,SUCCESS
Z9358991874,SUCCESS
Z6739545521,SUCCESS
Z9731018009,SUCCESS
Z8921443495,SUCCESS
Z5431985531,SUCCESS
Z5298127222,SUCCESS
Z6739785617,SUCCESS
Z3776181025,SUCCESS
Z8822821852,SUCCESS
Z6642744268,SUCCESS
Z6739990057,SUCCESS
Z3610704616,SUCCESS
Z5431985525,SUCCESS
Z4001462175,SUCCESS
Z9795985588,SUCCESS
Z2763451259,SUCCESS
Z1443688945,SUCCESS
Z7233106389,SUCCESS
Z6739688122,SUCCESS
Z5408307207,SUCCESS
Z6476365891,SUCCESS
Z9102034460,SUCCESS
Z928645666,SUCCESS
Z8795960128,SUCCESS
Z9311586199,SUCCESS
Z6739708215,SUCCESS
Z9193182993,SUCCESS
Z9120065080,SUCCESS
Z8756212995,SUCCESS
Z816348404,SUCCESS
Z2897161096,SUCCESS
Z9241051518,SUCCESS
Z8353661049,SUCCESS
Z8353661049,SUCCESS
Z2607647813,SUCCESS
Z4378829370,SUCCESS
Z8624531871,SUCCESS
Z9311586090,SUCCESS
Z3494945777,SUCCESS
Z9816993170,SUCCESS
Z145782130,SUCCESS
Z1603688304,SUCCESS
Z9159451995,SUCCESS
Z3494952213,SUCCESS
Z9148348876,SUCCESS
Z5516154831,SUCCESS
Z6739639380,SUCCESS
Z1603617021,SUCCESS
Z3775968296,SUCCESS
Z9816993179,SUCCESS
Z9816993179,SUCCESS
Z9299015546,SUCCESS
Z9966711785,SUCCESS
Z9966711785,SUCCESS
Z9314607830,SUCCESS
Z9353829125,SUCCESS
Z9299017854,SUCCESS
Z3337863955,SUCCESS
Z2581568776,SUCCESS
Z6795651759,SUCCESS
Z4209200590,SUCCESS
Z224341280,SUCCESS
Z8879001706,SUCCESS
Z2581531959,SUCCESS
Z4322674640,SUCCESS
Z5431985699,SUCCESS
Z4322674640,SUCCESS
Z651226536,SUCCESS
Z2581547138,SUCCESS
Z5431986380,SUCCESS
Z56792506,SUCCESS
Z2897160421,SUCCESS
Z9959114634,SUCCESS
Z3346990873,SUCCESS
Z9399564796,SUCCESS
Z9403734170,SUCCESS
Z8783554160,SUCCESS
Z8994240273,SUCCESS
Z9764943135,SUCCESS
Z9193183085,SUCCESS
Z8354559308,SUCCESS
Z3790334929,SUCCESS
Z7572969885,SUCCESS
Z9586500419,SUCCESS
Z5431985644,SUCCESS
Z8822821841,SUCCESS
Z2581571415,SUCCESS
Z6739668678,SUCCESS
Z8822821884,SUCCESS
Z9887979093,SUCCESS
Z9241051650,SUCCESS
Z8795960108,SUCCESS
Z7997035411,SUCCESS
Z6711833285,SUCCESS
Z1352361777,SUCCESS
Z1352361777,SUCCESS
Z3815810608,SUCCESS
Z1352361777,SUCCESS
Z9424704040,SUCCESS
Z9047888388,SUCCESS
Z2897160686,SUCCESS
Z4422819986,SUCCESS
Z2656055697,SUCCESS
Z9047888388,SUCCESS
Z8474198180,SUCCESS
Z9219649182,SUCCESS
Z6739608116,SUCCESS
Z8999150454,SUCCESS
Z2983456022,SUCCESS
Z9883903756,SUCCESS
Z1444968987,SUCCESS
Z2353577836,SUCCESS
Z8795960130,SUCCESS
Z3493097781,SUCCESS
Z8976335723,SUCCESS
Z2466065046,SUCCESS
Z9560748155,SUCCESS
Z8776667437,SUCCESS
Z8795960120,SUCCESS
Z6964476483,SUCCESS
Z1814452237,SUCCESS
Z8771525631,SUCCESS
Z8355373113,SUCCESS
Z9913449754,SUCCESS
Z164735698,SUCCESS
Z3839486901,SUCCESS
Z6739834078,SUCCESS
Z7918279726,SUCCESS
Z2466046601,SUCCESS
Z8368625354,SUCCESS
Z5431986547,SUCCESS
